Date,Time,Open,High,Low,Close,Vol,OI
11/30/2018,17:00:00,2700.50000,2723.25000,2687.50000,2716.75000,1475346,2737306
12/03/2018,17:00:00,2752.00000,2772.50000,2732.00000,2749.25000,1909240,2740857
12/04/2018,17:00:00,2748.25000,2749.00000,2654.50000,2660.25000,2709938,2746850
12/06/2018,17:00:00,2658.00000,2679.25000,2579.75000,2649.50000,2596155,2784868
12/07/2018,17:00:00,2652.75000,2668.25000,2581.75000,2594.50000,2596155,2770476
12/10/2018,17:00:00,2583.50000,2607.00000,2541.50000,2601.50000,2564357,2768482
12/11/2018,17:00:00,2602.50000,2636.50000,2579.75000,2599.75000,2265284,2732623
12/12/2018,17:00:00,2591.00000,2645.00000,2590.25000,2611.00000,1900862,2657369
12/13/2018,17:00:00,2611.75000,2629.75000,2595.75000,2604.00000,685685,684229
12/14/2018,17:00:00,2604.75000,2607.25000,2551.75000,2560.00000,1989620,1111562
12/17/2018,17:00:00,2550.00000,2571.25000,2488.00000,2510.25000,2958828,1758331
12/18/2018,17:00:00,2511.75000,2532.25000,2484.50000,2492.50000,2700902,2250599
12/19/2018,17:00:00,2486.25000,2546.50000,2444.00000,2459.00000,2865330,2437430
12/20/2018,17:00:00,2459.25000,2472.50000,2396.00000,2440.75000,3686614,2596391
12/21/2018,17:00:00,2439.50000,2462.50000,2363.75000,2368.00000,3016623,2685441
12/24/2018,17:00:00,2362.25000,2389.00000,2295.00000,2296.25000,1292750,2790461
12/26/2018,17:00:00,2303.00000,2432.25000,2271.25000,2425.50000,2015176,2763223
12/27/2018,17:00:00,2424.75000,2453.25000,2351.50000,2449.50000,2011392,2710039
12/28/2018,17:00:00,2446.00000,2477.50000,2427.25000,2440.50000,2011392,2695857
12/31/2018,17:00:00,2450.00000,2467.50000,2437.25000,2459.75000,1414594,2671246
01/02/2019,17:00:00,2462.50000,2475.75000,2406.75000,2465.50000,1969697,2683349
01/03/2019,17:00:00,2436.75000,2448.00000,2397.75000,2402.25000,2257341,2702026
01/04/2019,17:00:00,2406.25000,2493.75000,2393.00000,2485.75000,2350836,2634252
01/07/2019,17:00:00,2491.75000,2522.00000,2477.75000,2505.00000,1632131,2643289
01/08/2019,17:00:00,2507.75000,2535.75000,2502.00000,2527.00000,1664892,2596886
01/09/2019,17:00:00,2524.00000,2551.25000,2523.00000,2537.00000,1596941,2600873
01/10/2019,17:00:00,2534.75000,2554.00000,2515.00000,2548.50000,1534119,2580411
01/11/2019,17:00:00,2548.50000,2552.25000,2531.50000,2549.50000,1213026,2604676
01/14/2019,17:00:00,2543.00000,2546.50000,2521.75000,2535.00000,1199404,2612044
01/15/2019,17:00:00,2536.00000,2568.25000,2534.50000,2560.00000,1532494,2596574
01/16/2019,17:00:00,2560.25000,2580.75000,2557.00000,2567.75000,1330329,2594020
01/17/2019,17:00:00,2569.00000,2600.00000,2551.00000,2589.75000,1508869,2598337
01/18/2019,17:00:00,2591.25000,2632.25000,2587.25000,2626.00000,1753852,2596181
01/22/2019,17:00:00,2623.75000,2628.00000,2571.00000,2586.50000,1880446,2608729
01/23/2019,17:00:00,2585.25000,2608.25000,2567.00000,2592.75000,1576181,2627318
01/24/2019,17:00:00,2589.50000,2602.00000,2580.50000,2588.50000,1388741,2598644
01/25/2019,17:00:00,2590.75000,2627.00000,2589.00000,2618.00000,1388741,2595674
01/28/2019,17:00:00,2614.50000,2618.00000,2576.75000,2596.50000,1408636,2605425
01/29/2019,17:00:00,2594.75000,2604.50000,2583.00000,2594.75000,1261703,2618479
01/30/2019,17:00:00,2603.00000,2644.25000,2590.75000,2637.00000,1564987,2606116
01/31/2019,17:00:00,2638.00000,2667.50000,2630.25000,2659.00000,1935195,2555080
02/01/2019,17:00:00,2662.25000,2670.50000,2650.00000,2658.75000,1469597,2548101
02/04/2019,17:00:00,2653.75000,2679.50000,2651.50000,2675.75000,1024581,2550279
02/05/2019,17:00:00,2674.00000,2692.25000,2670.75000,2685.50000,1225737,2560529
02/06/2019,17:00:00,2685.25000,2691.00000,2676.75000,2684.00000,1196377,2553848
02/07/2019,17:00:00,2681.50000,2683.75000,2640.00000,2658.50000,1921663,2537472
02/08/2019,17:00:00,2656.50000,2663.50000,2635.25000,2660.75000,1579544,2525951
02/11/2019,17:00:00,2665.25000,2676.00000,2655.00000,2662.75000,1110070,2522343
02/12/2019,17:00:00,2661.50000,2702.50000,2660.00000,2699.25000,1307152,2539160
02/13/2019,17:00:00,2698.00000,2716.50000,2697.25000,2704.00000,1209879,2527128
02/14/2019,17:00:00,2703.75000,2717.50000,2684.75000,2698.00000,1518783,2507004
02/15/2019,17:00:00,2695.75000,2733.00000,2683.50000,2731.50000,1518783,2510982
02/19/2019,17:00:00,2732.00000,2742.00000,2720.50000,2733.25000,1198092,2512167
02/20/2019,17:00:00,2732.25000,2745.25000,2727.75000,2741.50000,1284923,2489011
02/21/2019,17:00:00,2741.50000,2752.50000,2718.75000,2728.75000,1426061,2512525
02/22/2019,17:00:00,2728.00000,2750.00000,2725.00000,2745.75000,1190834,2504698
02/25/2019,17:00:00,2754.00000,2768.50000,2749.00000,2751.50000,1256092,2536237
02/26/2019,17:00:00,2750.25000,2758.00000,2737.75000,2746.00000,1201641,2563644
02/27/2019,17:00:00,2742.50000,2751.75000,2729.50000,2749.50000,1138855,2550763
